Feature ID	Taxon	Confidence
25d772a3b016a22119775466a69d7ad1	d__Bacteria;p__Desantisbacteria;c__UBA1551;o__UBA1551;f__;g__;s__	0.9986691150469228
c8ba4fde4b117ef6011f3c12abad53c9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__Granulosicoccus;s__	0.9994482772040667
48c73c7418438db43c0cde9d59ccdd75	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__Mariniblastus sp011087765	0.9987163737853373
ee819315be7c2c89d17591c32393ed78	d__Bacteria;p__Desantisbacteria;c__UBA1551;o__UBA1551;f__;g__;s__	0.9999240202486981
8c19b05fd7766c9cc96ebf6c86f41869	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__Arenicellaceae;g__Perspicuibacter;s__Perspicuibacter marinus	0.9984820652458052
c8a92b85fd203611d25ff42b48777c41	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Litorimonas_487426;s__Litorimonas cladophorae	0.9999998829133927
d020dd36857b198459a84362a7d8b06b	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__GYS-P2D;s__GYS-P2D sp902609095	0.9998857129980558
a2296ab30395c864033e18b575cda44f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__Arenicellaceae;g__Arenicella;s__Arenicella xantha	0.9992073635087615
ab891778415d7b85f3da5b3536145622	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__Granulosicoccus;s__	0.9997771626685014
0dcbe54259f9d1252e7ca5c16ae369e8	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__UBA985	0.9999999999942379
83add29cec5d73227749d678fa5f749c	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae	0.9999997392110053
b3a75424a8d8153bd3cd8dbf972169b9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_650612;f__Porticoccaceae;g__HB2-32-21;s__	0.9992862531275774
7b8bab89507f8bb9f7b2458fbb3c6d17	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae_23353;g__SIO2C1;s__SIO2C1 sp010672925	0.9926840458470899
6082a5b39452546f8ad1500dfa94d81f	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Geminicoccales;f__Geminicoccaceae	0.7380616114322373
690bf7a69511dced365238f512c2245f	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Litorimonas_487426;s__Litorimonas cladophorae	0.9999994290961278
8aaff632665feefdd137e3fc338288c2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__GYS-P2D;s__GYS-P2D sp902609095	0.9999385814769419
eb424acc9c9d4d1eca211aa7064d8984	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A_501582;f__Stappiaceae;g__;s__	0.9999999723994937
88a466ae0cc00dd7217e2106f8cdc859	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__Granulosicoccus	0.9999993011123098
cdbee4bce8b6c4799234b1539ed272e6	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__Mariniblastus sp011087765	0.9662900841937193
c5f4034866cfadd1fe1e2503287d6d33	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Hellea;s__Hellea balneolensis	0.9999803747855709
c66c82398333a5b033cfbc88f2deb5ce	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tateyamaria;s__	0.7243055583337427
458339bd3c86a788ff2e3337546b4822	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__;s__	0.999997435284917
318af768528d0cc29a9d2b999e1100d7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Hellea;s__Hellea balneolensis	0.9213325604916276
c9c38eb334ede6d90b2fca4e2b400cb2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Hellea;s__Hellea balneolensis	0.9922384879608248
df7eeed576818eec80d678e468fe4572	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__Granulosicoccus;s__	0.9999983765994319
fdd07123776e624ce55700e29a7ac855	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Flavobacteriaceae;g__Croceitalea;s__Croceitalea litorea	0.9999793075930271
792dcd93860563ffb632cf26008df464	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__Mariniblastus sp011087765	0.999824662687128
1c641fca68a45223ea917a171b42b457	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia_491068	0.9707522679161182
