sample_id	id_study	Country	Region	Source	Macroalgal_group
ERR1594389	study_21	Canada	V4	Costaria costata	Phaeophyta
ERR1594390	study_21	Canada	V4	Costaria costata	Phaeophyta
ERR1594391	study_21	Canada	V4	Costaria costata	Phaeophyta
ERR1594392	study_21	Canada	V4	Costaria costata	Phaeophyta
ERR1594393	study_21	Canada	V4	Costaria costata	Phaeophyta
ERR1594394	study_21	Canada	V4	Costaria costata	Phaeophyta
ERR1594395	study_21	Canada	V4	Costaria costata	Phaeophyta
ERR1594398	study_21	Canada	V4	Costaria costata	Phaeophyta
ERR1594384	study_21	Canada	V4	Costaria costata	Phaeophyta
ERR1594396	study_21	Canada	V4	Costaria costata	Phaeophyta
ERR1594397	study_21	Canada	V4	Costaria costata	Phaeophyta
SRR6367416	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367417	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367418	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367419	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367420	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367421	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367422	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367423	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367424	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367425	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367426	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367427	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367428	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367429	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367430	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367431	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367432	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367433	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367434	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367435	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367436	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367437	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367438	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367439	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367440	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367441	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367442	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367443	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367444	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367445	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367446	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367447	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367448	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367449	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367450	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367451	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367452	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367453	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367454	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367455	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367456	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367457	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367458	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367459	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367460	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367461	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367462	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR6367463	study_22	Australia	V4	Ecklonia radiata	Phaeophyta
SRR18795039	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795058	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795067	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795070	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795040	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795041	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795042	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795043	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795044	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795047	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795063	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795064	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795065	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795066	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795068	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR18795069	study_25	China	V3-V4	Sargassum thunbergii	Phaeophyta
ERR8442896	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442897	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442898	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442899	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442900	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442901	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442902	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442910	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442911	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442912	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442913	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442914	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442915	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442916	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442917	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442926	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442927	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442928	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442929	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442930	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442931	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442932	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442941	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442942	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442943	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442944	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442945	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442946	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442947	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442948	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442957	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442958	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442959	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442960	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442961	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442963	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442964	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442973	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442975	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442976	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442977	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442978	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442979	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442987	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442988	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442989	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442990	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442991	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442992	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442993	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442994	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8443002	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8443003	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8443004	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8443005	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8443006	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8443007	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442974	study_27	United Kingdom	V4	Laminaria hyperborea	Phaeophyta
ERR8442903	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442904	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442905	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442906	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442907	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442908	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442909	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442918	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442919	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442920	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442921	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442922	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442923	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442924	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442925	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442933	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442934	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442935	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442937	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442938	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442939	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442940	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442949	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442950	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442951	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442952	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442953	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442954	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442955	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442956	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442965	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442966	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442967	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442968	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442969	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442970	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442971	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442972	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442981	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442982	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442983	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442984	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442985	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442986	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442995	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442996	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442997	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442998	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442999	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8443000	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8443001	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8443008	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8443009	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8443010	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8443011	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8443012	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8443013	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8443014	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8443015	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442936	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442962	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
ERR8442980	study_27	United Kingdom	V4	Saccharina latissima	Phaeophyta
SRR19168101	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168102	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168103	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168104	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168105	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168106	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168107	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168108	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168109	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168110	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168111	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168112	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168113	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168114	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168115	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168116	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168117	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168118	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168119	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168120	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168121	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168122	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168123	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR19168124	study_4	China	V3-V4	Sargassum thunbergii	Phaeophyta
SRR6668200	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668201	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668204	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668205	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668206	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668207	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668212	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668213	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668214	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668198	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668199	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668202	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668203	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668208	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668209	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668210	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6668211	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780845	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780846	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780847	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780848	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780849	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780850	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780851	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780852	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780853	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780854	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780855	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780856	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780857	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780858	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780859	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780860	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780861	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR6780862	study_6	China	V3-V4	Saccharina japonica	Phaeophyta
SRR9067517	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067518	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067519	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067520	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067521	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067522	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067523	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067524	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067525	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067526	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067527	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067528	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067529	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067530	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067531	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067532	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067533	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067534	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067535	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067536	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067537	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067538	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067539	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067540	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067541	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067542	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR9067543	study_7	China	V3-V4	Gracilaria lemaneiformis	Rhodophyta
SRR8284880	study_8	China	V4-V5	Neopyropia yezoensis	Rhodophyta
SRR8284881	study_8	China	V4-V5	Neopyropia yezoensis	Rhodophyta
SRR8284882	study_8	China	V4-V5	Neopyropia yezoensis	Rhodophyta
SRR8284883	study_8	China	V4-V5	Neopyropia yezoensis	Rhodophyta
SRR8284884	study_8	China	V4-V5	Neopyropia yezoensis	Rhodophyta
SRR8284885	study_8	China	V4-V5	Neopyropia yezoensis	Rhodophyta
SRR8284886	study_8	China	V4-V5	Neopyropia yezoensis	Rhodophyta
SRR8284888	study_8	China	V4-V5	Neopyropia yezoensis	Rhodophyta
SRR8284891	study_8	China	V4-V5	Neopyropia yezoensis	Rhodophyta
SRR8179507	study_9	China	V5-V7	Sargassum horneri	Phaeophyta
SRR8179508	study_9	China	V5-V7	Sargassum horneri	Phaeophyta
SRR8179510	study_9	China	V5-V7	Sargassum horneri	Phaeophyta
SRR8179511	study_9	China	V5-V7	Sargassum horneri	Phaeophyta
SRR8179513	study_9	China	V5-V7	Sargassum horneri	Phaeophyta
SRR8179514	study_9	China	V5-V7	Sargassum horneri	Phaeophyta
SRR8179515	study_9	China	V5-V7	Sargassum horneri	Phaeophyta
SRR8179516	study_9	China	V5-V7	Sargassum horneri	Phaeophyta
SRR8179517	study_9	China	V5-V7	Sargassum horneri	Phaeophyta
SRR8179518	study_9	China	V5-V7	Sargassum horneri	Phaeophyta
SRR8179519	study_9	China	V5-V7	Sargassum horneri	Phaeophyta
SRR8179520	study_9	China	V5-V7	Sargassum horneri	Phaeophyta
SRR16090730	study_12	China	V3-V4	Seawater	Seawater
SRR16090741	study_12	China	V3-V4	Seawater	Seawater
SRR16090745	study_12	China	V3-V4	Seawater	Seawater
SRR16090746	study_12	China	V3-V4	Seawater	Seawater
SRR16090747	study_12	China	V3-V4	Seawater	Seawater
SRR16090748	study_12	China	V3-V4	Seawater	Seawater
SRR16090749	study_12	China	V3-V4	Seawater	Seawater
SRR16090750	study_12	China	V3-V4	Seawater	Seawater
SRR16090751	study_12	China	V3-V4	Seawater	Seawater
SRR16090752	study_12	China	V3-V4	Seawater	Seawater
SRR16090753	study_12	China	V3-V4	Seawater	Seawater
SRR16090754	study_12	China	V3-V4	Seawater	Seawater
SRR16090755	study_12	China	V3-V4	Seawater	Seawater
SRR16090756	study_12	China	V3-V4	Seawater	Seawater
SRR16090757	study_12	China	V3-V4	Seawater	Seawater
SRR16090758	study_12	China	V3-V4	Seawater	Seawater
SRR16090759	study_12	China	V3-V4	Seawater	Seawater
SRR16090760	study_12	China	V3-V4	Seawater	Seawater
SRR16090761	study_12	China	V3-V4	Seawater	Seawater
SRR16090762	study_12	China	V3-V4	Seawater	Seawater
SRR16090763	study_12	China	V3-V4	Seawater	Seawater
SRR16090764	study_12	China	V3-V4	Seawater	Seawater
SRR16090769	study_12	China	V3-V4	Seawater	Seawater
SRR16090775	study_12	China	V3-V4	Seawater	Seawater
SRR16090776	study_12	China	V3-V4	Seawater	Seawater
SRR16090777	study_12	China	V3-V4	Seawater	Seawater
SRR16090778	study_12	China	V3-V4	Seawater	Seawater
SRR11306110	study_15	USA	V4	Seawater	Seawater
SRR11306121	study_15	USA	V4	Seawater	Seawater
SRR11306132	study_15	USA	V4	Seawater	Seawater
SRR11306142	study_15	USA	V4	Seawater	Seawater
SRR11306143	study_15	USA	V4	Seawater	Seawater
SRR11306144	study_15	USA	V4	Seawater	Seawater
SRR11306145	study_15	USA	V4	Seawater	Seawater
SRR11306146	study_15	USA	V4	Seawater	Seawater
SRR11306147	study_15	USA	V4	Seawater	Seawater
SRR11306148	study_15	USA	V4	Seawater	Seawater
SRR11306149	study_15	USA	V4	Seawater	Seawater
SRR11306156	study_15	USA	V4	Seawater	Seawater
SRR11306164	study_15	USA	V4	Seawater	Seawater
SRR11306165	study_15	USA	V4	Seawater	Seawater
SRR11306166	study_15	USA	V4	Seawater	Seawater
SRR11306167	study_15	USA	V4	Seawater	Seawater
SRR11306171	study_15	USA	V4	Seawater	Seawater
SRR11306182	study_15	USA	V4	Seawater	Seawater
SRR11306188	study_15	USA	V4	Seawater	Seawater
SRR11306189	study_15	USA	V4	Seawater	Seawater
SRR11306190	study_15	USA	V4	Seawater	Seawater
SRR11306191	study_15	USA	V4	Seawater	Seawater
SRR11306192	study_15	USA	V4	Seawater	Seawater
SRR11306193	study_15	USA	V4	Seawater	Seawater
SRR11306194	study_15	USA	V4	Seawater	Seawater
SRR11306195	study_15	USA	V4	Seawater	Seawater
SRR11306196	study_15	USA	V4	Seawater	Seawater
SRR11306197	study_15	USA	V4	Seawater	Seawater
SRR11306198	study_15	USA	V4	Seawater	Seawater
SRR11306199	study_15	USA	V4	Seawater	Seawater
SRR11306200	study_15	USA	V4	Seawater	Seawater
SRR11306203	study_15	USA	V4	Seawater	Seawater
SRR11306204	study_15	USA	V4	Seawater	Seawater
SRR11306205	study_15	USA	V4	Seawater	Seawater
ERR2811145	study_16	Chile	V1-V3	Seawater	Seawater
ERR2811146	study_16	Chile	V1-V3	Seawater	Seawater
ERR2811148	study_16	Chile	V1-V3	Seawater	Seawater
ERR2811141	study_16	Chile	V1-V3	Seawater	Seawater
ERR2811142	study_16	Chile	V1-V3	Seawater	Seawater
ERR2811143	study_16	Chile	V1-V3	Seawater	Seawater
ERR2811144	study_16	Chile	V1-V3	Seawater	Seawater
ERR2811147	study_16	Chile	V1-V3	Seawater	Seawater
ERR2854886	study_18	USA	V4	Seawater	Seawater
ERR2854887	study_18	USA	V4	Seawater	Seawater
ERR2854888	study_18	USA	V4	Seawater	Seawater
ERR2854889	study_18	USA	V4	Seawater	Seawater
ERR2854890	study_18	USA	V4	Seawater	Seawater
ERR2854891	study_18	USA	V4	Seawater	Seawater
ERR2854892	study_18	USA	V4	Seawater	Seawater
ERR2854893	study_18	USA	V4	Seawater	Seawater
ERR2854894	study_18	USA	V4	Seawater	Seawater
ERR2854895	study_18	USA	V4	Seawater	Seawater
ERR2854896	study_18	USA	V4	Seawater	Seawater
ERR2854897	study_18	USA	V4	Seawater	Seawater
ERR2854898	study_18	USA	V4	Seawater	Seawater
ERR2854899	study_18	USA	V4	Seawater	Seawater
ERR2854900	study_18	USA	V4	Seawater	Seawater
ERR2854901	study_18	USA	V4	Seawater	Seawater
ERR2854902	study_18	USA	V4	Seawater	Seawater
ERR2854903	study_18	USA	V4	Seawater	Seawater
ERR2854904	study_18	USA	V4	Seawater	Seawater
ERR2854905	study_18	USA	V4	Seawater	Seawater
ERR2854906	study_18	USA	V4	Seawater	Seawater
