OTU_ID	SRR6668198	SRR6668199	SRR6668200	SRR6668201	SRR6668202	SRR6668203	SRR6668204	SRR6668205	SRR6668206	SRR6668207	SRR6668208	SRR6668209	SRR6668210	SRR6668211	SRR6668212	SRR6668213	SRR6668214	SRR6780845	SRR6780846	SRR6780848	SRR6780850	SRR6780851	SRR6780852	SRR6780854	SRR6780855	SRR6780856	SRR6780857	SRR6780858	SRR6780859	SRR6780860	SRR6780861	SRR6780862
50be70bdfb77472d55195fc3f9255fab	23519.0	735.0	11244.0	16612.0	14091.0	23686.0	9696.0	12099.0	5599.0	12738.0	2022.0	922.0	22902.0	6828.0	14807.0	16994.0	19236.0	14505.0	11144.0	5140.0	4947.0	7067.0	9511.0	9436.0	235.0	7999.0	20314.0	1000.0	8351.0	16634.0	13358.0	2516.0
97e59c4332ae0528f4b9dfc285d89252	534.0	19293.0	423.0	527.0	187.0	329.0	0.0	455.0	35.0	9731.0	43.0	2914.0	2849.0	63.0	16.0	96.0	1899.0	561.0	434.0	2052.0	124.0	1072.0	2605.0	366.0	158.0	2187.0	1324.0	1075.0	5.0	43.0	2273.0	436.0
691212ac7096537a284a6b5cf5a88665	355.0	1583.0	2176.0	968.0	1643.0	130.0	276.0	1817.0	226.0	115.0	2943.0	4187.0	72.0	2445.0	243.0	1972.0	2007.0	1293.0	1401.0	2209.0	3808.0	2437.0	873.0	280.0	2356.0	485.0	601.0	5756.0	345.0	1218.0	1024.0	3725.0
613475349e159b9c3e98b03d283e6f60	240.0	38.0	1221.0	415.0	1614.0	43.0	1601.0	60.0	1596.0	230.0	3413.0	3395.0	18.0	410.0	1508.0	3246.0	842.0	777.0	2129.0	1593.0	469.0	1950.0	1515.0	26.0	2687.0	1045.0	112.0	693.0	2650.0	698.0	98.0	7160.0
32cac6b970c55b55e7ba2f10841c3e3d	1065.0	379.0	3283.0	488.0	1457.0	37.0	0.0	2086.0	0.0	310.0	624.0	4696.0	34.0	928.0	0.0	857.0	683.0	1771.0	2797.0	4681.0	377.0	2915.0	1180.0	176.0	514.0	1563.0	84.0	4575.0	0.0	334.0	82.0	1151.0
aeccdd7284d37dbbd322b791aebd058b	357.0	0.0	1419.0	1333.0	502.0	0.0	0.0	276.0	0.0	212.0	467.0	1847.0	0.0	220.0	0.0	341.0	16.0	771.0	2873.0	1741.0	43.0	2027.0	2020.0	0.0	401.0	2356.0	0.0	1228.0	0.0	62.0	64.0	833.0
6054e6c8f2b5e0dc4944aea47bac0fa1	64.0	85.0	358.0	104.0	771.0	363.0	123.0	104.0	244.0	132.0	1577.0	161.0	42.0	245.0	138.0	142.0	221.0	364.0	370.0	177.0	1449.0	771.0	758.0	530.0	2227.0	1918.0	405.0	239.0	285.0	214.0	983.0	448.0
b68b186f501c64d1b1fc34e48ba14067	109.0	0.0	1081.0	2955.0	951.0	0.0	31.0	135.0	0.0	416.0	1017.0	344.0	0.0	71.0	62.0	189.0	0.0	535.0	321.0	762.0	373.0	704.0	135.0	0.0	1015.0	548.0	0.0	373.0	24.0	32.0	0.0	303.0
e08881fc80e7a5cf0696eb8a0f478258	119.0	0.0	476.0	9.0	296.0	0.0	0.0	15.0	0.0	10.0	2209.0	174.0	0.0	10.0	18.0	36.0	0.0	2899.0	29.0	462.0	10.0	245.0	70.0	0.0	3405.0	809.0	0.0	161.0	0.0	0.0	60.0	563.0
3d5fdda942c156ad13c04c33412ccb3f	44.0	0.0	295.0	16.0	430.0	147.0	49.0	214.0	263.0	0.0	2038.0	180.0	63.0	496.0	40.0	222.0	118.0	162.0	18.0	183.0	1917.0	351.0	196.0	419.0	2243.0	39.0	97.0	344.0	108.0	354.0	55.0	403.0
