OTU_ID	SRR16090725	SRR16090726	SRR16090727	SRR16090728	SRR16090729	SRR16090731	SRR16090732	SRR16090733	SRR16090734	SRR16090736	SRR16090737	SRR16090739	SRR16090740	SRR16090741	SRR16090742	SRR16090743	SRR16090744	SRR16090745	SRR16090746	SRR16090749	SRR16090750	SRR16090751	SRR16090752	SRR16090753	SRR16090754	SRR16090755	SRR16090756	SRR16090757	SRR16090758	SRR16090759	SRR16090760	SRR16090761	SRR16090763	SRR16090765	SRR16090766	SRR16090767	SRR16090768	SRR16090770	SRR16090772	SRR16090773	SRR16090774	SRR16090775	SRR16090776	SRR16090777	SRR16090778
d47ca6086c80d541b32929c7ddbc8eac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1291.0	0.0	1731.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1387.0	0.0	0.0	0.0	0.0	0.0
9d82fabda3ebd63f8f157169a4d6a1eb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1380.0	0.0	1656.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1322.0	0.0	0.0	0.0	0.0	0.0
c27d9ed0396846d15483975d7589755d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1394.0	0.0	1604.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1258.0	0.0	0.0	0.0	0.0	0.0
1967fab02e406660bf6936e1e90c583b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1325.0	0.0	1546.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1161.0	0.0	0.0	0.0	0.0	0.0
53e75ab9af069a73ae4fde68220fea89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1376.0	0.0	1439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1154.0	0.0	0.0	0.0	0.0	0.0
27bd68a1223102c14e9ac156717956c5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1162.0	0.0	1454.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1190.0	0.0	0.0	0.0	0.0	0.0
8c71e5859e6ec9cfc0c73619f8b10d17	0.0	0.0	603.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1771.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	1510.0	0.0	0.0	0.0	0.0	0.0	0.0
8f84d498fb813b621e50f615cb4cc2da	0.0	0.0	545.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1624.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	1405.0	0.0	0.0	0.0	0.0	0.0	0.0
edb93442b1c24f71e7d44810db206114	0.0	0.0	547.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1625.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	1355.0	0.0	0.0	0.0	0.0	0.0	0.0
27a77226d3694025845fa5291f4f106c	0.0	0.0	498.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1472.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	1534.0	0.0	0.0	0.0	0.0	0.0	0.0
65b294c97ebb8d5ca7acb6c447a2068a	0.0	0.0	474.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1445.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	1451.0	0.0	0.0	0.0	0.0	0.0	0.0
754de00dc2d2f49dbfa224fdd8244cb2	0.0	0.0	463.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1245.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	1375.0	0.0	0.0	0.0	0.0	0.0	0.0
848a0dab261ac071671984d68cdc00b0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	912.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2789.0	0.0	0.0	0.0	0.0
51fea3a7e920b249ed1206e5391c9d86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2287.0	0.0	0.0	0.0	0.0
e00eaec08111411af9a2f54972f15b25	0.0	1259.0	0.0	0.0	0.0	0.0	0.0	0.0	1741.0	0.0	0.0	0.0	0.0	0.0	0.0	367.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
