OTU_ID	SRR8179507	SRR8179508	SRR8179509	SRR8179510	SRR8179511	SRR8179512	SRR8179513	SRR8179514	SRR8179515	SRR8179516	SRR8179517	SRR8179518	SRR8179519	SRR8179520
078585e7f94fad8b28466faaddc0557b	15.0	789.0	18.0	21.0	124.0	19.0	8.0	10.0	6.0	8.0	0.0	16.0	42.0	2351.0
b0bfd003c338ca181cbcef73a708aecd	11.0	18.0	39.0	3941.0	24.0	14.0	0.0	7.0	0.0	6.0	0.0	0.0	205.0	15.0
87e8e47b355348ae8212ccfff2d309c9	11.0	810.0	19.0	19.0	86.0	19.0	11.0	7.0	6.0	23.0	0.0	17.0	30.0	2141.0
a81567c318e524ca69beb229cbcc9974	619.0	642.0	425.0	144.0	105.0	43.0	347.0	399.0	77.0	259.0	277.0	117.0	68.0	75.0
39c90b53b07b05b772de5c1e83753ae3	512.0	625.0	407.0	130.0	90.0	44.0	421.0	459.0	136.0	234.0	352.0	125.0	57.0	58.0
8c92d72bf7e992ab61c17a1437aad55d	30.0	0.0	60.0	24.0	395.0	44.0	36.0	80.0	91.0	30.0	677.0	1885.0	184.0	14.0
85cb393f7699ca904f6a42849fff2d56	6.0	9.0	114.0	694.0	3.0	7.0	1149.0	607.0	12.0	6.0	506.0	24.0	6.0	4.0
a3dc57c2684f3c7a411c075dc9b9e3c8	18.0	0.0	47.0	18.0	322.0	30.0	38.0	77.0	71.0	21.0	528.0	1478.0	185.0	13.0
5ab52d4a3cecb6763ed3b3e2b9bda0fe	120.0	0.0	6.0	0.0	23.0	0.0	107.0	550.0	334.0	281.0	100.0	0.0	472.0	0.0
91bf9b753cd2d5eb72920660eba52fa1	72.0	36.0	15.0	0.0	0.0	0.0	68.0	436.0	322.0	284.0	105.0	11.0	622.0	29.0
d5dc582f2895e5c1d4d36f591daf5544	77.0	37.0	9.0	2.0	15.0	2.0	52.0	398.0	334.0	278.0	95.0	10.0	601.0	31.0
5771a0f2f054542eee3df03cf00ad872	179.0	11.0	5.0	11.0	44.0	15.0	13.0	14.0	0.0	0.0	0.0	0.0	1144.0	13.0
c50cf35da735c76843979f05109aead6	188.0	5.0	8.0	4.0	33.0	9.0	11.0	13.0	0.0	0.0	0.0	0.0	1082.0	7.0
09f70fdd00906ee0612427b142440514	0.0	0.0	47.0	436.0	0.0	0.0	618.0	354.0	0.0	8.0	299.0	19.0	0.0	0.0
89022257105637c13a0c1ae9f0de712b	1141.0	2.0	5.0	15.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	7.0	4.0
91df92cdbc968269c49f705c360bd839	0.0	0.0	714.0	20.0	0.0	225.0	212.0	189.0	0.0	0.0	43.0	0.0	0.0	0.0
fb6e16b751284d2de147e8b0051c88f7	1.0	9.0	803.0	0.0	0.0	207.0	70.0	61.0	0.0	0.0	17.0	0.0	6.0	8.0
89a271bf2d65165bdad911fc8e3d8aca	0.0	0.0	0.0	0.0	0.0	5.0	13.0	0.0	224.0	907.0	6.0	0.0	2.0	210.0
42d8270d0a007428545b194ab0723834	26.0	15.0	0.0	10.0	0.0	13.0	32.0	289.0	232.0	187.0	48.0	0.0	392.0	6.0
df00e336be992d488e0d5069730ca968	73.0	0.0	0.0	0.0	0.0	0.0	48.0	307.0	241.0	166.0	51.0	0.0	338.0	0.0
f1bfade2e8f1bad34a27efe27726da5c	72.0	110.0	19.0	5.0	24.0	4.0	7.0	8.0	25.0	126.0	0.0	39.0	552.0	18.0
3bcb691a4babdd069f9b88aa27bb73d7	80.0	115.0	25.0	7.0	28.0	11.0	0.0	3.0	30.0	134.0	0.0	34.0	545.0	25.0
1b64070b84821a39d22a45febd28e923	23.0	32.0	0.0	26.0	0.0	19.0	47.0	222.0	175.0	141.0	46.0	0.0	364.0	0.0
79578450a2488912bdfc741b2e653a9d	834.0	0.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0
9c3ea348aa7a1e4bd3f5fd25c9b85e8e	4.0	980.0	2.0	6.0	0.0	6.0	10.0	6.0	0.0	0.0	0.0	0.0	11.0	4.0
301a1e776b350182de64c11834cd8e20	2.0	4.0	51.0	7.0	0.0	670.0	180.0	155.0	0.0	2.0	55.0	0.0	0.0	0.0
c4e561e81c2fdcc3ac35afb459536e71	0.0	4.0	419.0	0.0	0.0	155.0	116.0	139.0	0.0	0.0	53.0	0.0	0.0	0.0
48b991fbb473dc166fc7139345c81765	0.0	0.0	160.0	0.0	0.0	301.0	247.0	222.0	0.0	7.0	67.0	0.0	0.0	6.0
bd5af1a3affaa711e3d716ba6d43034e	148.0	221.0	0.0	0.0	196.0	0.0	0.0	0.0	109.0	0.0	126.0	99.0	27.0	0.0
38a13eaddc8586f408698a4458411707	4.0	0.0	545.0	0.0	0.0	98.0	41.0	35.0	0.0	0.0	23.0	0.0	0.0	0.0
4a513537f7104e84a8f22cbad4b6797a	154.0	184.0	0.0	0.0	121.0	0.0	0.0	0.0	94.0	72.0	109.0	68.0	30.0	0.0
23d4f2d8a28eb732e964b54fee504db0	0.0	3.0	33.0	14.0	0.0	568.0	147.0	120.0	0.0	0.0	38.0	0.0	12.0	4.0
7c36415afb27d32abf6ff990ede58ff3	93.0	49.0	40.0	35.0	39.0	14.0	17.0	57.0	21.0	178.0	116.0	91.0	22.0	69.0
3f60fbfd265f04c259c42185d1e88001	0.0	6.0	18.0	5.0	0.0	478.0	201.0	165.0	8.0	7.0	52.0	3.0	9.0	4.0
113af8ae05fb4210c1916ddc23535a06	110.0	35.0	49.0	22.0	21.0	8.0	20.0	48.0	21.0	170.0	149.0	109.0	10.0	45.0
4c7eeccff33985beb46c3cac0389faa3	0.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	147.0	564.0	4.0	0.0	2.0	129.0
a287ed157cab6eaa37bdcf6a1a1a6ba3	0.0	0.0	0.0	0.0	0.0	2.0	7.0	13.0	19.0	43.0	9.0	893.0	0.0	0.0
