OTU_ID	ERR2029188	ERR2029189	ERR2029190	ERR2029191	ERR2029192	ERR2029193	ERR2029194	ERR2029195	ERR2029235	ERR2029236	ERR2029237	ERR2029238	ERR2029239	ERR2029240	ERR2029242	ERR2029243	ERR2029258	ERR2029259	ERR2029260	ERR2029261	ERR2029262	ERR2029263	ERR2029265	ERR2029266
73f51289a97829785baefbfc0f38be81	8758.0	9661.0	2965.0	2186.0	6774.0	9064.0	2099.0	3529.0	1019.0	9591.0	0.0	60.0	1308.0	5.0	222.0	8791.0	7250.0	8586.0	5502.0	1232.0	4939.0	4705.0	2414.0	8047.0
dd2c5cc7dd3373c4ae7465474d6965eb	424.0	0.0	3207.0	0.0	233.0	0.0	5573.0	4813.0	329.0	0.0	1100.0	0.0	1873.0	0.0	537.0	0.0	619.0	0.0	446.0	0.0	2263.0	0.0	5969.0	1599.0
2d57e162067cfd74fd1e4ccd21f194c9	156.0	92.0	1198.0	0.0	433.0	158.0	855.0	872.0	2844.0	85.0	4112.0	3.0	1114.0	8254.0	0.0	666.0	812.0	146.0	2539.0	366.0	520.0	3704.0	0.0	0.0
67aabda558f093887665aa706148e9fa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9767.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
720064725a37f56808b4049a07007a62	0.0	0.0	0.0	5734.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
deafbcb13a58aed914ba731828913785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2779.0	81.0	868.0	0.0	2415.0	191.0	0.0	0.0	0.0	0.0	131.0	1020.0	0.0	1315.0	0.0	0.0
85523d618fcb42348227dc078efd6057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2807.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e010763c2b0ddacdc0afbd65863268b7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1150.0	7.0	962.0	112.0	646.0	6.0	595.0	0.0	185.0	0.0	122.0	447.0	304.0	6.0	0.0	3.0
ec9f5db88f8a75d104c6bd94ea361fa6	0.0	0.0	59.0	0.0	31.0	4.0	0.0	0.0	137.0	15.0	719.0	0.0	246.0	240.0	0.0	0.0	4.0	0.0	48.0	2650.0	0.0	130.0	0.0	0.0
a1c76661f5f1bfd186c2c64e9ae139bd	0.0	89.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	3.0	938.0	0.0	355.0	12.0	197.0	21.0	0.0	0.0	0.0	0.0	0.0
