OTU_ID	SRR11306110	SRR11306111	SRR11306112	SRR11306113	SRR11306114	SRR11306115	SRR11306116	SRR11306117	SRR11306118	SRR11306119	SRR11306120	SRR11306121	SRR11306122	SRR11306123	SRR11306124	SRR11306125	SRR11306126	SRR11306127	SRR11306128	SRR11306129	SRR11306130	SRR11306131	SRR11306132	SRR11306133	SRR11306134	SRR11306135	SRR11306136	SRR11306137	SRR11306138	SRR11306139	SRR11306140	SRR11306141	SRR11306142	SRR11306143	SRR11306144	SRR11306145	SRR11306146	SRR11306147	SRR11306148	SRR11306149	SRR11306150	SRR11306151	SRR11306152	SRR11306153	SRR11306155	SRR11306156	SRR11306157	SRR11306158	SRR11306160	SRR11306161	SRR11306162	SRR11306163	SRR11306164	SRR11306165	SRR11306166	SRR11306167	SRR11306168	SRR11306169	SRR11306170	SRR11306171	SRR11306172	SRR11306173	SRR11306174	SRR11306175	SRR11306176	SRR11306177	SRR11306178	SRR11306179	SRR11306180	SRR11306181	SRR11306183	SRR11306184	SRR11306185	SRR11306186	SRR11306187	SRR11306190	SRR11306191	SRR11306192	SRR11306193	SRR11306195	SRR11306197	SRR11306198	SRR11306199	SRR11306201	SRR11306202	SRR11306203	SRR11306205
6563b0492dd56918bbb5a5abbce4ad85	343.0	58.0	207.0	248.0	468.0	52.0	98.0	62.0	301.0	462.0	302.0	1191.0	45.0	31.0	34.0	261.0	212.0	310.0	0.0	0.0	0.0	15.0	249.0	0.0	32.0	62.0	19.0	0.0	18.0	0.0	0.0	0.0	3929.0	4346.0	3540.0	1772.0	1782.0	1955.0	787.0	3282.0	33.0	0.0	0.0	0.0	19.0	2690.0	18.0	22.0	73.0	50.0	31.0	0.0	3011.0	1847.0	1457.0	2874.0	40.0	39.0	10.0	1015.0	7.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	288.0	1752.0	437.0	699.0	299.0	108.0	530.0	15.0	0.0	66.0	193.0	259.0
e2d3f11bb6917835d00cdfd00da6e21e	3704.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	780.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3376.0	80.0	91.0	0.0	214.0	0.0	0.0	0.0	77.0	124.0	382.0	243.0	338.0	650.0	511.0	236.0	692.0	229.0	0.0	13.0	0.0	36.0	0.0	293.0	0.0	0.0	27.0	0.0	0.0	0.0	716.0	403.0	745.0	576.0	0.0	0.0	114.0	666.0	73.0	104.0	71.0	52.0	100.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	89.0	83.0	57.0	2524.0	803.0	3713.0	489.0	2351.0	3466.0	866.0	2300.0	0.0	198.0	3636.0	323.0
25d070583d9fae3ac3fc5c5b7694f96a	2223.0	73.0	44.0	31.0	70.0	80.0	105.0	70.0	31.0	43.0	16.0	737.0	34.0	88.0	34.0	20.0	46.0	15.0	60.0	53.0	126.0	65.0	2165.0	0.0	0.0	107.0	0.0	51.0	93.0	61.0	0.0	0.0	287.0	261.0	249.0	515.0	494.0	416.0	640.0	414.0	8.0	0.0	0.0	0.0	8.0	323.0	9.0	14.0	0.0	16.0	5.0	14.0	928.0	613.0	1121.0	669.0	132.0	36.0	0.0	700.0	0.0	0.0	0.0	0.0	0.0	56.0	64.0	98.0	0.0	40.0	33.0	37.0	0.0	0.0	0.0	2324.0	794.0	2480.0	520.0	2238.0	2092.0	1074.0	1511.0	90.0	160.0	2354.0	344.0
94162f880f6adc030e8dab3a5b9cfe87	0.0	212.0	98.0	93.0	98.0	1447.0	1313.0	922.0	57.0	66.0	39.0	0.0	1784.0	969.0	1354.0	116.0	91.0	99.0	404.0	519.0	645.0	255.0	0.0	202.0	215.0	223.0	308.0	88.0	113.0	60.0	219.0	1348.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	28.0	657.0	474.0	187.0	107.0	69.0	0.0	166.0	159.0	150.0	78.0	91.0	60.0	0.0	0.0	0.0	0.0	1417.0	628.0	570.0	0.0	158.0	149.0	1384.0	1104.0	886.0	478.0	477.0	1774.0	858.0	150.0	138.0	121.0	216.0	750.0	895.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	18.0	711.0	634.0	0.0	8.0
17e2230b01fdfc064b476eb97b5b6987	1607.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1377.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	1722.0	0.0	25.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1686.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1401.0	0.0	0.0	0.0	3.0	0.0	8.0	10.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2052.0	1207.0	1488.0	1478.0	2391.0	1241.0	1400.0	302.0	13.0	18.0	1633.0	652.0
559d64266b507d1194d9dc95287bef2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	343.0	192.0	323.0	24.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	731.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	923.0	0.0	91.0	102.0	1128.0	1723.0	957.0	106.0	143.0	26.0	1029.0	4314.0	2731.0	2294.0	688.0	498.0	512.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5f7cb1f8dd16d5ef22b7bfb20b83f07f	141.0	107.0	376.0	409.0	628.0	161.0	246.0	143.0	916.0	1170.0	761.0	1034.0	0.0	35.0	40.0	434.0	333.0	479.0	0.0	38.0	25.0	21.0	85.0	38.0	19.0	58.0	43.0	0.0	60.0	0.0	39.0	0.0	403.0	361.0	334.0	248.0	229.0	252.0	708.0	382.0	0.0	0.0	0.0	0.0	39.0	296.0	0.0	0.0	58.0	0.0	0.0	0.0	591.0	516.0	414.0	603.0	45.0	40.0	0.0	888.0	15.0	29.0	0.0	30.0	52.0	17.0	58.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	1280.0	172.0	986.0	120.0	99.0	667.0	64.0	0.0	78.0	80.0	617.0
ca041b1722a626455cd2d1f35ca89d36	0.0	144.0	340.0	424.0	182.0	204.0	167.0	229.0	98.0	107.0	67.0	0.0	584.0	225.0	156.0	595.0	420.0	910.0	152.0	219.0	186.0	308.0	0.0	257.0	55.0	193.0	182.0	57.0	81.0	60.0	158.0	134.0	46.0	22.0	60.0	215.0	278.0	140.0	0.0	201.0	323.0	843.0	61.0	1106.0	649.0	230.0	524.0	685.0	720.0	977.0	3163.0	1912.0	0.0	66.0	117.0	0.0	174.0	85.0	252.0	0.0	132.0	165.0	60.0	114.0	42.0	82.0	82.0	125.0	210.0	249.0	384.0	186.0	160.0	268.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	190.0	106.0	0.0	17.0
d4ba8e7c44a1186c4e8c8d436dd24505	0.0	0.0	119.0	154.0	231.0	0.0	90.0	0.0	282.0	361.0	243.0	0.0	0.0	0.0	0.0	146.0	84.0	158.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	2375.0	2588.0	2315.0	1198.0	1121.0	1233.0	0.0	1643.0	0.0	79.0	0.0	94.0	0.0	1531.0	56.0	49.0	61.0	0.0	55.0	17.0	448.0	298.0	251.0	588.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	27.0	0.0	33.0	0.0	0.0	502.0	36.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	151.0	0.0	0.0
2613c18386bdcd9adfeedfc0528ca273	0.0	165.0	51.0	206.0	67.0	315.0	160.0	166.0	107.0	85.0	66.0	0.0	605.0	588.0	1328.0	58.0	66.0	46.0	637.0	596.0	607.0	260.0	0.0	336.0	72.0	76.0	90.0	38.0	53.0	46.0	357.0	803.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	68.0	14.0	24.0	17.0	0.0	224.0	131.0	215.0	36.0	23.0	0.0	0.0	0.0	0.0	0.0	388.0	388.0	664.0	0.0	178.0	299.0	565.0	766.0	1211.0	455.0	411.0	559.0	488.0	278.0	309.0	273.0	392.0	847.0	603.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0
