OTU_ID	SRR16971116	SRR16971117	SRR16971118	SRR16971119	SRR16971120	SRR16971121
2611104b66f4d4f9ab262803d9ad2ff1	139.0	110.0	101.0	76.0	84.0	64.0
4a254ba9e1e4548ae5a64badad8ebc01	93.0	67.0	104.0	95.0	127.0	98.0
42614806d24a37f19e72680fe61b2d7b	73.0	59.0	91.0	109.0	132.0	104.0
db93f028df23ad91514ca0b99bb437ee	117.0	96.0	89.0	90.0	97.0	57.0
e869182d62714601ee67ea67c4b6b2c1	90.0	61.0	114.0	85.0	87.0	72.0
4f3a8a5220933d5bd8230cbbc0bf7a6e	45.0	51.0	59.0	70.0	151.0	165.0
be6a95579265032def5f14bd35b91fd8	127.0	76.0	159.0	42.0	82.0	51.0
5e28d02b546381d846affa0e649c4dc7	83.0	71.0	117.0	71.0	77.0	122.0
76675034e0f3f5ba798d3e513716138a	65.0	67.0	73.0	73.0	99.0	133.0
590339ca81d274ce8d5cb9bf249543fc	87.0	89.0	84.0	100.0	102.0	62.0
c42564c4a5b31f347d0eb9eb7963171a	15.0	27.0	22.0	141.0	161.0	192.0
697105c200b0f4e9dfce32c23e514e17	85.0	49.0	60.0	216.0	71.0	73.0
5051f8822043c3e61d46fa7d0e8b2d3e	104.0	62.0	88.0	55.0	107.0	68.0
e1b33e5a61c463ca9e0026e7a250f63c	128.0	64.0	138.0	58.0	45.0	39.0
3ede694c3e9e3e971aa8de5c2e86e65c	97.0	135.0	118.0	40.0	37.0	49.0
f8b34ccfe8c5030e11a130b772f9947b	52.0	83.0	46.0	104.0	89.0	124.0
0f9826d9dda54b9f4679f7cb829dff69	104.0	74.0	117.0	56.0	77.0	59.0
557b7e7a780d45cae97db3a872fafca8	96.0	100.0	99.0	45.0	74.0	86.0
1fa2af9f7c708fea58b5ce41a6590c3c	41.0	49.0	52.0	157.0	120.0	109.0
bec7ea1b60fe80e010359820025db834	83.0	111.0	98.0	49.0	72.0	87.0
a957a445b0e7b5cd92b7f1403b869c32	115.0	97.0	80.0	49.0	55.0	77.0
9f726f0678c3931ef376bf606538d493	65.0	73.0	81.0	86.0	99.0	76.0
06f9481c483d8e4e9f10dcd622b118af	117.0	73.0	135.0	52.0	38.0	42.0
41726bcfad93d9c3d472681e535c52ec	80.0	48.0	112.0	50.0	98.0	71.0
4ba96bfff01caf6634887b1d8635099b	72.0	55.0	94.0	48.0	79.0	107.0
995ce5b985b5578575480c2a8a33341f	72.0	98.0	75.0	68.0	58.0	93.0
a9483eeab7912d6b532662d1bf92f465	47.0	51.0	61.0	102.0	101.0	113.0
cbe31701556330ebf8dd0da438f9cd96	89.0	68.0	90.0	74.0	83.0	39.0
49183fb83a01274b532d62212775e72f	43.0	49.0	49.0	114.0	126.0	98.0
8de0c71d776fc78da6c466051a76fc85	93.0	144.0	126.0	17.0	28.0	31.0
3bb97d3c4485150465e5e2456454a57d	66.0	47.0	75.0	87.0	110.0	76.0
da9d6c72dc9f57f957712423cc3af43f	65.0	78.0	54.0	67.0	83.0	75.0
470226e42b130c7368dbd33f9970bc57	87.0	45.0	71.0	70.0	66.0	63.0
182d65bf1a856c609eeb26fc2d6307de	61.0	98.0	58.0	83.0	68.0	63.0
42db3b036a2601cbfc4add381b4f0624	100.0	87.0	94.0	38.0	51.0	31.0
636233fe883b13e04d0057297a5c36c0	47.0	54.0	40.0	100.0	100.0	108.0
04b9c22fba790096a81237e3023bc328	89.0	101.0	85.0	49.0	48.0	44.0
34309657d4f03ec29b104ac85f8a5df9	74.0	101.0	78.0	42.0	49.0	70.0
59b1bd8750dbf961c63a7f4156e63895	49.0	48.0	45.0	92.0	103.0	99.0
057288a508c9f94a5ca1b0934aeeda73	26.0	39.0	35.0	109.0	117.0	133.0
6b30a1dcd8ff6c72d0f544829daa0a16	44.0	53.0	40.0	92.0	98.0	108.0
642c1f366f73a60763410b9de0e3e7ee	89.0	125.0	105.0	22.0	24.0	29.0
a1b1172bbb07ccbdf01ff69a4480ee44	51.0	91.0	76.0	35.0	62.0	92.0
01227ddc2d6a1ce071ce0b0d07a40b02	73.0	71.0	67.0	56.0	82.0	58.0
5d11d67f5c7a0269b82e745919551eb1	92.0	51.0	44.0	120.0	68.0	37.0
6e381aca1ceaa5e105540a7f8660dc28	74.0	63.0	71.0	58.0	59.0	71.0
a120d519bc3d96398f266481c13381f2	82.0	111.0	71.0	20.0	37.0	53.0
5890595d7615282d09d638726948d820	63.0	100.0	75.0	41.0	48.0	62.0
1987f76cf54e11fde0f04510e7aca0e7	53.0	35.0	45.0	83.0	86.0	102.0
fc666f7046a4b76d375b33731064b62f	45.0	72.0	82.0	42.0	55.0	65.0
d152e8a481f70b7ab4d1257af544d12e	70.0	54.0	56.0	98.0	30.0	72.0
7474ebb3d6d9f942ef3c913d5dc0f583	43.0	50.0	53.0	70.0	88.0	68.0
61b82c2d1ecba1b20b4d0407a0f70994	55.0	75.0	76.0	44.0	40.0	58.0
6a4523a5565572e106fb644f51907155	50.0	65.0	62.0	75.0	58.0	55.0
f2da45bd84a45e28b478b0f174324d54	89.0	64.0	55.0	60.0	56.0	47.0
934b944893b98339358a74bef7285360	44.0	68.0	56.0	54.0	66.0	72.0
52f5057d7d41e089f069b358effb04d5	93.0	84.0	64.0	21.0	27.0	29.0
3fecdbcd3e35fd425b217aa1d88e234d	51.0	67.0	45.0	68.0	57.0	60.0
ac810741f9cf44c6fa4b8edfef64f5f9	20.0	39.0	30.0	111.0	77.0	98.0
06a379d9b261005840808856927b0460	106.0	120.0	96.0	0.0	0.0	0.0
4b4c42bb475122940ed3edd17559a047	109.0	61.0	110.0	30.0	0.0	0.0
89072d52c24d722ea71276bcc8bfbe10	62.0	40.0	60.0	66.0	78.0	46.0
08bb653aa0a2c2c55316bc6fd51a3fa9	77.0	62.0	87.0	35.0	48.0	19.0
59566b6359d8c70ef9a7bd0a7cbce41c	71.0	69.0	79.0	34.0	50.0	33.0
78515f3a0e9fbbdab3f050e53418ff85	64.0	46.0	66.0	47.0	56.0	47.0
870646f6a05b02160223288a42e8e80a	63.0	68.0	48.0	38.0	52.0	47.0
03b8bcd44457a4172b7bc766605a32a9	75.0	54.0	57.0	50.0	43.0	41.0
97bfe864ad491877456ef2d4aa20c4b8	70.0	94.0	44.0	39.0	38.0	51.0
1d662e9d8fe57aad6566721ad9717b64	35.0	42.0	51.0	59.0	73.0	70.0
bb8f593b9fca2913da34cba42d5655c2	74.0	38.0	60.0	53.0	53.0	32.0
7e9728792e30914909b12d37631be4e4	51.0	57.0	31.0	57.0	58.0	63.0
0772451e488b9217451119bceed17c9c	57.0	46.0	89.0	31.0	39.0	49.0
993ed9da39ccadd612477caa5d4db99c	28.0	31.0	32.0	61.0	65.0	90.0
a2bf7c121d027363d8e28cb99fb6cb2a	83.0	44.0	85.0	38.0	25.0	19.0
83ff6e26e6199d66c3e0dbe39d84edd3	40.0	81.0	50.0	41.0	50.0	43.0
05ffa109c599f1c3db8999ce472209c9	44.0	29.0	35.0	119.0	31.0	74.0
058fc86e38dd944eb19cb873d20a7e28	45.0	66.0	38.0	59.0	47.0	42.0
236355a3fbb07c449be4888986e9eb09	31.0	89.0	28.0	64.0	41.0	64.0
cafa752b3ac97907b16ae81e17a376c7	53.0	55.0	55.0	46.0	47.0	52.0
9de1a39a0adbbafa39f99945452a3548	68.0	59.0	61.0	41.0	42.0	34.0
8c1c973cbdcb19240d7a4425bf001380	34.0	56.0	35.0	88.0	49.0	30.0
b0bffc243efbe30564f63f86bf7d8cf8	56.0	55.0	49.0	42.0	52.0	44.0
1a0a65b8ea675a5115831d3781a5e732	36.0	57.0	45.0	26.0	51.0	51.0
8bf43e932cc4ad27f03482307beaf261	41.0	37.0	35.0	70.0	52.0	56.0
1f42900e6c695b11470294ccab1ddfe6	33.0	33.0	39.0	63.0	67.0	49.0
eeb3f3aeb6cffa49c799f6223e2d4f4d	34.0	32.0	40.0	58.0	70.0	49.0
1ebad6d80c24b9ce95bee5676d738ef1	26.0	31.0	25.0	51.0	79.0	65.0
26e13be67636d9e4c2ae7c72d6d077a8	79.0	69.0	51.0	27.0	23.0	18.0
cdc75495ec419afd49f97db0956ba20a	7.0	3.0	2.0	104.0	99.0	82.0
8abacd38662778a96171fac9ba91ba27	54.0	86.0	75.0	7.0	18.0	17.0
674d86f3c6d730cf96408b4fcf07903b	33.0	48.0	32.0	55.0	66.0	46.0
d92e48c66aac217fb68dd73e4400d132	31.0	38.0	30.0	56.0	53.0	56.0
9ef62b5ce14c1a350eb74318d15f80a3	35.0	58.0	55.0	40.0	39.0	48.0
b04213b8c5d77d7adc20e3537d4abc74	40.0	75.0	45.0	35.0	23.0	36.0
90d10247d90cc20b65baac29997842c0	27.0	35.0	31.0	56.0	55.0	67.0
ab27ff9c3aa6574b7bc23ae71ae165ec	33.0	34.0	47.0	26.0	62.0	54.0
d6e1f055e4de812c5b9535670435d721	48.0	47.0	46.0	35.0	32.0	49.0
a3b9d2bf0656915305b061ef05a560e1	53.0	33.0	45.0	40.0	32.0	40.0
d54f0267c1dec602df00d47e7a603037	20.0	16.0	21.0	59.0	67.0	76.0
1f918e60715033ef92d8255b7a589b8b	39.0	30.0	54.0	33.0	61.0	48.0
9dcbf1f60673d9411096c568f49a5e5e	44.0	65.0	50.0	19.0	29.0	24.0
4552901e17049e599b1cfabbcc5a5033	42.0	26.0	40.0	60.0	31.0	53.0
09ab34e5a6d2db7b3a1bbcb4cb4ede20	42.0	55.0	54.0	26.0	36.0	48.0
c70f64a732ed0997ef51702421be7c39	38.0	68.0	31.0	42.0	37.0	32.0
c8ff1d4650aea8bfaf4a6e4dccd11360	21.0	27.0	41.0	48.0	43.0	53.0
2667dae9e3a614d3e8cea8b27dceaf3a	38.0	51.0	36.0	32.0	40.0	46.0
f989efe3b9ad3f5e16b4ed3d74ce755b	70.0	41.0	95.0	0.0	9.0	0.0
41ba5b9437471d897e3373d9c16467ec	21.0	32.0	31.0	39.0	46.0	75.0
c439cea670463782043896fb8628b7f3	54.0	38.0	80.0	0.0	25.0	12.0
d8dd0821aa868c631e6d0e22e4be1acf	33.0	21.0	45.0	33.0	53.0	40.0
6a91b9debf3a1a4d0c0a13ea701c36cf	35.0	40.0	21.0	58.0	42.0	37.0
389faddf8acfb098266ea7490980fdc3	35.0	52.0	31.0	61.0	33.0	31.0
818c7e398bd9de807d47ca960ef85ec2	33.0	56.0	54.0	46.0	20.0	25.0
90eea091473e45af852b0a2bc19a874c	59.0	48.0	61.0	12.0	17.0	16.0
ea366250466d8b5ea21299cd4a5f8be1	45.0	34.0	36.0	27.0	47.0	40.0
3dcdbabef20f89ca2f2ae260920e026e	21.0	34.0	34.0	54.0	48.0	42.0
905ac1d8f1e86d1f584fe19b7ce0b3da	22.0	25.0	13.0	42.0	60.0	65.0
4eb5008fd9de0ef3b2ca966361344191	48.0	34.0	42.0	19.0	39.0	22.0
9731d7c61ba5d6502cf8f890090fac1d	21.0	33.0	14.0	36.0	41.0	66.0
4cbfafe061eb0a613492c6e2fd396a50	55.0	62.0	51.0	0.0	20.0	0.0
0d61134b5e7b5cdaec2f451951e784d8	47.0	25.0	25.0	88.0	46.0	7.0
7a3b64eca55a4e3f2d412f5710241972	43.0	65.0	42.0	22.0	26.0	23.0
46f07ddb3971ea7ea2153eac51c2ab05	39.0	33.0	42.0	28.0	32.0	45.0
315a547b6fe6f1760022b20be7a1f58b	34.0	66.0	33.0	30.0	27.0	20.0
399f459a45ccdf8c3fdd30141e4aa22d	35.0	62.0	30.0	0.0	29.0	36.0
4324f362a7762c9b43caadaf7fb24bb9	49.0	44.0	36.0	36.0	39.0	14.0
758d593e2019e854518acb8461b68a7e	47.0	26.0	50.0	27.0	31.0	26.0
d4486a2830d0fd53bf0ac7d0ece52dc7	46.0	18.0	63.0	27.0	35.0	24.0
3d32b8ed7e24decd459d2539c7b7b087	45.0	28.0	49.0	18.0	29.0	18.0
80840736697db3fa132eb7e20dc4aa5f	33.0	50.0	35.0	37.0	35.0	25.0
e450da6b3c98d5482d81b2ee8ea46643	28.0	27.0	28.0	34.0	48.0	38.0
ff94f0ec82c3c95022edbfcf3045bd95	18.0	22.0	28.0	52.0	53.0	40.0
48b119d675a7d6da8fee1b9fa06e9735	32.0	38.0	28.0	25.0	45.0	30.0
7535b021a232398386ceb235b973679d	35.0	29.0	47.0	20.0	29.0	26.0
94923dbbd0bc4b8b19caaa3b25eb7a85	41.0	56.0	46.0	13.0	7.0	10.0
6f0e2a5c320ae3687b3862da6378ba34	24.0	18.0	16.0	61.0	44.0	40.0
77c00a906dfeeb9702c09be860ea9c88	37.0	38.0	41.0	18.0	33.0	13.0
d8492f469ed14b95311926c586f9d41c	37.0	31.0	58.0	18.0	22.0	12.0
0c9fbdf3002c3f7e73348f5f8f70b5c0	28.0	51.0	0.0	48.0	42.0	38.0
d45e91ab07d6b2b4a630af5e2e3688e9	31.0	37.0	37.0	35.0	30.0	30.0
827f57ca362dab0db2855b805b1c8ba3	38.0	22.0	30.0	42.0	39.0	25.0
b195eeba980ad3cf7bf9244aad928388	27.0	20.0	27.0	41.0	33.0	39.0
6d510b89ea46a7321e0db1c56ebfe936	37.0	51.0	45.0	7.0	15.0	12.0
7f327c6c1fae8906dd2cffa4c801f000	24.0	17.0	19.0	22.0	52.0	47.0
e68b408ebed1560276bdf2cefa7833c9	41.0	36.0	20.0	0.0	43.0	36.0
c4de177eaa006ba28b261762831765de	34.0	34.0	29.0	44.0	44.0	0.0
1e4550032e524eacc70bdf8474dcf157	37.0	49.0	32.0	23.0	22.0	24.0
e2ff3f275cffdba9231e90fdcf949cca	15.0	29.0	29.0	39.0	29.0	34.0
c428195a6d1e8aeaa45d680e4a2d85a3	16.0	25.0	20.0	70.0	30.0	38.0
162fc0735393f5fd46d73f5c0229626b	30.0	9.0	35.0	37.0	55.0	29.0
d153fdb1fa22b77ea3a4b061de19bffd	32.0	36.0	34.0	36.0	26.0	22.0
451fceaec51f000bba4b54e6106d11f5	48.0	48.0	39.0	13.0	14.0	10.0
ddac8ed6d8e3b5d5294fe1614f1338f1	53.0	43.0	46.0	12.0	11.0	0.0
2a851165a237dc2e1e86e2600fa3c4cc	19.0	26.0	24.0	53.0	41.0	36.0
1ea313f776ac4682aecd22d9641962a9	0.0	28.0	24.0	51.0	41.0	54.0
7d9ae0f35ebc246da8e31972661e2c87	34.0	50.0	45.0	13.0	14.0	16.0
101795e7db117ee087fa3ed0f06cb1a5	23.0	21.0	30.0	40.0	31.0	34.0
06f339e331513a653088735baba5dd5e	33.0	27.0	37.0	17.0	34.0	27.0
75089d544c89aabfaee738de887c282b	49.0	19.0	52.0	20.0	19.0	8.0
b8abf70080c4332a77bb414fea13e37a	42.0	56.0	31.0	0.0	0.0	31.0
5b36e54d4badffbc89577018c8d4ef5d	23.0	24.0	26.0	28.0	43.0	34.0
e882d1eb397a2170950b248e180d30be	35.0	30.0	41.0	18.0	18.0	34.0
bbe20f711ed040d344459b466cefeb08	19.0	25.0	42.0	29.0	40.0	24.0
d947495f50be859c31f1ff20685e480a	23.0	21.0	34.0	43.0	33.0	19.0
6d14fa5132da804dc5bfd4a37f818a6f	15.0	16.0	13.0	38.0	48.0	50.0
f1289bf69ac06658fc07db5151a949bb	24.0	29.0	27.0	14.0	33.0	44.0
126413212af73fcb328f94b4ad4e2f8f	25.0	18.0	21.0	23.0	41.0	44.0
d5e61b9d0ee8a45f564d0bcbd15aa389	56.0	29.0	48.0	9.0	6.0	11.0
609025a83d2b9683faf8464b6d54b57f	33.0	34.0	32.0	19.0	29.0	16.0
4a565fb5dc278d6fa26265e8f975c8a6	66.0	45.0	42.0	0.0	0.0	0.0
b55760247812c1b598ee34dd858ec0d7	15.0	25.0	12.0	44.0	42.0	37.0
