OTU_ID	ERR2811133	ERR2811134	ERR2811135	ERR2811137	ERR2811138	ERR2811139	ERR2811140	ERR2811141	ERR2811143	ERR2811144	ERR2811145	ERR2811146	ERR2811147
2c00bc14e2ad04dd35790b9d9525fdfc	1991.0	1583.0	1010.0	1646.0	1818.0	891.0	1410.0	0.0	492.0	19.0	76.0	14.0	59.0
de0328df9c333d6101572cd952e72b8d	1776.0	1469.0	892.0	1498.0	1691.0	721.0	1379.0	0.0	377.0	16.0	49.0	15.0	41.0
947257016f42f1d6cb66da164bc7f658	1728.0	1356.0	771.0	1328.0	1483.0	1214.0	1293.0	0.0	305.0	73.0	87.0	79.0	87.0
c13ec65ca307c3ae3408a69fe5c633c1	1036.0	856.0	562.0	939.0	1017.0	1451.0	862.0	62.0	301.0	51.0	0.0	40.0	0.0
81a647c1013d39656248bbf456583b6c	953.0	791.0	502.0	847.0	840.0	702.0	760.0	0.0	266.0	0.0	0.0	0.0	0.0
a701b221bfd3672b4be7c1fad63c0ccf	873.0	647.0	373.0	647.0	750.0	619.0	712.0	24.0	210.0	0.0	0.0	0.0	0.0
7b80b8d16f91f17da9d1bf5051cc3344	753.0	580.0	360.0	622.0	684.0	548.0	590.0	69.0	190.0	0.0	0.0	0.0	0.0
4e72938fc4f6068fb190849e21ace4b1	0.0	916.0	0.0	779.0	0.0	1225.0	845.0	0.0	470.0	0.0	21.0	0.0	0.0
ca1b37902d6bf9eecc47b3d5c003e2bf	0.0	903.0	0.0	769.0	0.0	1108.0	924.0	0.0	491.0	0.0	0.0	0.0	0.0
625f021de46aebef26bf92d0fb700eac	647.0	533.0	302.0	540.0	627.0	465.0	550.0	0.0	103.0	0.0	0.0	0.0	11.0
0a33f227bff1ca87576c7d9061eac9ad	610.0	473.0	336.0	535.0	562.0	451.0	494.0	0.0	150.0	0.0	0.0	0.0	0.0
1cb4e874798e9c9ba365c0c58191c134	42.0	552.0	182.0	293.0	54.0	725.0	540.0	0.0	202.0	0.0	0.0	45.0	0.0
4949e093a02afd305892a89fb041fdbf	0.0	501.0	42.0	436.0	0.0	683.0	467.0	0.0	329.0	0.0	0.0	0.0	16.0
9eb2f7eb4d13a0e95e7caa6ff5bff60d	0.0	521.0	0.0	434.0	10.0	607.0	547.0	0.0	343.0	0.0	0.0	33.0	0.0
902c6b51bd7d72b4bf479319a6406a1f	432.0	0.0	1686.0	0.0	737.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0
59bd121d0781fe3d153cc407d1b45df9	386.0	352.0	186.0	369.0	370.0	273.0	346.0	0.0	83.0	0.0	0.0	0.0	0.0
bf7697a2ea55651e6c547737ff71ffdd	442.0	0.0	1540.0	0.0	831.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0
e26efb9852316a7fa56e3355a99a13f9	352.0	260.0	168.0	358.0	329.0	265.0	306.0	0.0	60.0	0.0	0.0	0.0	0.0
a0f5ea820913d339b1415c3eeb7543e3	85.0	304.0	157.0	451.0	83.0	406.0	304.0	0.0	281.0	0.0	0.0	0.0	0.0
b42bf162a36cd6b4ac00dace618f5248	298.0	43.0	1270.0	33.0	454.0	98.0	92.0	0.0	49.0	0.0	0.0	0.0	0.0
cda2f1f79d88540cb657113a7cca1b31	31.0	239.0	141.0	334.0	44.0	361.0	347.0	0.0	138.0	0.0	58.0	0.0	0.0
ebfa36f4238785bf57019e1f25b84d9c	150.0	38.0	626.0	29.0	292.0	41.0	41.0	0.0	31.0	0.0	0.0	0.0	0.0
0b2f03c0e343d69aa7ccc7b7c0c4fa00	157.0	32.0	542.0	64.0	242.0	57.0	39.0	0.0	74.0	0.0	0.0	0.0	0.0
