OTU_ID	SRR6367416	SRR6367417	SRR6367418	SRR6367419	SRR6367420	SRR6367421	SRR6367422	SRR6367423	SRR6367424	SRR6367425	SRR6367426	SRR6367427	SRR6367428	SRR6367429	SRR6367430	SRR6367431	SRR6367432	SRR6367433	SRR6367434	SRR6367435	SRR6367436	SRR6367437	SRR6367438	SRR6367439	SRR6367440	SRR6367441	SRR6367442	SRR6367443	SRR6367444	SRR6367445	SRR6367447	SRR6367448	SRR6367449	SRR6367450	SRR6367451	SRR6367452	SRR6367453	SRR6367454	SRR6367455	SRR6367456	SRR6367457	SRR6367458	SRR6367459	SRR6367460	SRR6367461	SRR6367462	SRR6367463
25d772a3b016a22119775466a69d7ad1	16284.0	2516.0	2647.0	6586.0	7594.0	4409.0	10615.0	3369.0	7012.0	6729.0	5514.0	1653.0	3083.0	7166.0	8112.0	9788.0	5299.0	14223.0	22730.0	7555.0	2889.0	18157.0	4385.0	10005.0	34122.0	27770.0	18402.0	11461.0	12648.0	3688.0	6315.0	21251.0	24331.0	21451.0	18761.0	6385.0	8007.0	18357.0	583.0	2332.0	5831.0	12005.0	17887.0	508.0	4758.0	2800.0	3596.0
c8ba4fde4b117ef6011f3c12abad53c9	2849.0	645.0	926.0	6626.0	2992.0	2354.0	4227.0	3763.0	3103.0	11977.0	2372.0	7794.0	8992.0	1387.0	13825.0	16785.0	14366.0	18138.0	4.0	137.0	191.0	117.0	125.0	579.0	8947.0	7976.0	17446.0	925.0	623.0	831.0	7858.0	11448.0	7083.0	11533.0	85.0	2294.0	1137.0	5512.0	4511.0	897.0	2392.0	1186.0	110.0	389.0	151.0	6916.0	345.0
48c73c7418438db43c0cde9d59ccdd75	799.0	1286.0	2440.0	3602.0	4368.0	2620.0	5276.0	10263.0	998.0	3688.0	11783.0	8832.0	7278.0	6435.0	4514.0	4421.0	1522.0	8513.0	2373.0	1038.0	573.0	979.0	3660.0	193.0	234.0	709.0	1322.0	2250.0	1853.0	1224.0	3608.0	467.0	1653.0	1077.0	414.0	2357.0	5163.0	1920.0	1235.0	509.0	1724.0	2070.0	357.0	2504.0	1073.0	4965.0	1215.0
ee819315be7c2c89d17591c32393ed78	6907.0	281.0	1671.0	311.0	7251.0	20288.0	2968.0	7141.0	1485.0	579.0	158.0	74.0	175.0	70.0	6371.0	500.0	87.0	140.0	32.0	11.0	261.0	514.0	24.0	2364.0	0.0	26.0	41.0	44.0	712.0	92.0	8.0	87.0	68.0	17.0	20.0	265.0	4325.0	99.0	0.0	13995.0	15857.0	402.0	120.0	250.0	358.0	20.0	37.0
8c19b05fd7766c9cc96ebf6c86f41869	82.0	109.0	449.0	0.0	58.0	54.0	51.0	39.0	4555.0	129.0	215.0	131.0	703.0	762.0	417.0	313.0	79.0	66.0	7790.0	14489.0	8322.0	10160.0	10352.0	4947.0	145.0	419.0	103.0	13102.0	148.0	2586.0	104.0	137.0	174.0	148.0	53.0	3604.0	67.0	346.0	228.0	1220.0	51.0	69.0	67.0	96.0	284.0	0.0	29.0
c8a92b85fd203611d25ff42b48777c41	297.0	82.0	1099.0	117.0	5070.0	1589.0	3353.0	2993.0	691.0	2212.0	1036.0	1414.0	5983.0	2180.0	935.0	522.0	1162.0	243.0	37.0	469.0	146.0	15.0	204.0	34.0	18.0	139.0	1282.0	318.0	435.0	212.0	5458.0	1550.0	799.0	1039.0	355.0	2639.0	1635.0	1669.0	2921.0	356.0	434.0	532.0	346.0	85.0	131.0	1988.0	192.0
d020dd36857b198459a84362a7d8b06b	121.0	64.0	3210.0	17.0	871.0	1131.0	1474.0	1494.0	1693.0	4341.0	1508.0	7416.0	6466.0	3357.0	276.0	172.0	9.0	42.0	26.0	1546.0	152.0	0.0	116.0	20.0	0.0	16.0	11.0	177.0	199.0	173.0	481.0	106.0	78.0	0.0	16.0	2362.0	3775.0	1512.0	7603.0	208.0	171.0	613.0	99.0	11.0	40.0	1884.0	129.0
a2296ab30395c864033e18b575cda44f	0.0	0.0	201.0	0.0	0.0	0.0	92.0	38.0	745.0	230.0	0.0	106.0	218.0	357.0	628.0	61.0	0.0	0.0	2980.0	1854.0	827.0	3586.0	6517.0	1410.0	0.0	517.0	64.0	7635.0	3963.0	5233.0	45.0	0.0	0.0	0.0	0.0	1135.0	0.0	66.0	89.0	316.0	0.0	445.0	44.0	109.0	576.0	48.0	0.0
ab891778415d7b85f3da5b3536145622	440.0	136.0	267.0	1090.0	6005.0	2570.0	6542.0	2138.0	102.0	1853.0	348.0	2243.0	1582.0	1004.0	741.0	150.0	44.0	951.0	10.0	98.0	74.0	28.0	30.0	107.0	405.0	27.0	42.0	114.0	287.0	224.0	378.0	90.0	172.0	94.0	18.0	1215.0	1218.0	558.0	646.0	62.0	179.0	203.0	77.0	80.0	172.0	6047.0	111.0
0dcbe54259f9d1252e7ca5c16ae369e8	224.0	114.0	368.0	200.0	35.0	9.0	17.0	217.0	8802.0	140.0	15.0	50.0	911.0	26.0	89.0	432.0	14.0	47.0	290.0	838.0	1091.0	215.0	454.0	201.0	115.0	7675.0	425.0	322.0	98.0	314.0	15.0	110.0	42.0	17.0	38.0	9245.0	40.0	230.0	162.0	121.0	0.0	2624.0	3535.0	0.0	164.0	31.0	96.0
83add29cec5d73227749d678fa5f749c	199.0	436.0	1379.0	27.0	563.0	528.0	418.0	2730.0	306.0	489.0	4935.0	5966.0	2227.0	3470.0	205.0	224.0	23.0	36.0	103.0	748.0	100.0	7.0	46.0	15.0	0.0	57.0	74.0	210.0	350.0	95.0	3512.0	103.0	0.0	66.0	17.0	469.0	2696.0	998.0	681.0	347.0	200.0	677.0	185.0	308.0	23.0	508.0	362.0
b3a75424a8d8153bd3cd8dbf972169b9	759.0	416.0	778.0	3375.0	50.0	12.0	25.0	353.0	62.0	111.0	2875.0	4090.0	2324.0	1674.0	119.0	459.0	11.0	160.0	63.0	336.0	117.0	178.0	90.0	207.0	38.0	18.0	15.0	851.0	1462.0	406.0	430.0	76.0	0.0	0.0	0.0	380.0	487.0	1369.0	1390.0	340.0	389.0	863.0	381.0	545.0	981.0	220.0	3488.0
7b8bab89507f8bb9f7b2458fbb3c6d17	18.0	0.0	55.0	0.0	575.0	7.0	475.0	55.0	2129.0	1414.0	1770.0	7.0	1146.0	53.0	106.0	15.0	12226.0	1635.0	9.0	0.0	12.0	0.0	0.0	6.0	1564.0	643.0	19.0	0.0	136.0	2.0	25.0	14.0	181.0	0.0	0.0	16.0	0.0	54.0	200.0	18.0	147.0	26.0	6.0	11.0	76.0	0.0	0.0
6082a5b39452546f8ad1500dfa94d81f	0.0	0.0	205.0	0.0	0.0	0.0	24.0	44.0	0.0	31.0	0.0	0.0	46.0	25.0	120.0	9.0	5.0	0.0	17.0	5029.0	219.0	1476.0	589.0	5952.0	0.0	4.0	14.0	339.0	8934.0	6196.0	15.0	0.0	0.0	0.0	5.0	61.0	14.0	0.0	3.0	0.0	0.0	0.0	0.0	232.0	94.0	81.0	70.0
690bf7a69511dced365238f512c2245f	543.0	117.0	377.0	2013.0	219.0	0.0	225.0	781.0	0.0	72.0	1470.0	308.0	457.0	364.0	651.0	5717.0	146.0	244.0	0.0	277.0	94.0	0.0	41.0	0.0	0.0	130.0	1133.0	45.0	100.0	40.0	1981.0	3212.0	220.0	977.0	211.0	317.0	636.0	333.0	408.0	204.0	0.0	133.0	60.0	848.0	0.0	118.0	0.0
