OTU_ID	ERR8442896	ERR8442897	ERR8442898	ERR8442899	ERR8442900	ERR8442901	ERR8442902	ERR8442903	ERR8442904	ERR8442905	ERR8442906	ERR8442907	ERR8442908	ERR8442909	ERR8442910	ERR8442911	ERR8442912	ERR8442913	ERR8442914	ERR8442915	ERR8442916	ERR8442918	ERR8442919	ERR8442920	ERR8442921	ERR8442922	ERR8442923	ERR8442924	ERR8442925	ERR8442926	ERR8442927	ERR8442928	ERR8442929	ERR8442930	ERR8442931	ERR8442932	ERR8442933	ERR8442934	ERR8442935	ERR8442936	ERR8442937	ERR8442938	ERR8442939	ERR8442940	ERR8442941	ERR8442942	ERR8442943	ERR8442944	ERR8442945	ERR8442946	ERR8442947	ERR8442948	ERR8442949	ERR8442950	ERR8442951	ERR8442952	ERR8442953	ERR8442954	ERR8442955	ERR8442956	ERR8442957	ERR8442958	ERR8442959	ERR8442960	ERR8442961	ERR8442962	ERR8442963	ERR8442964	ERR8442965	ERR8442966	ERR8442967	ERR8442968	ERR8442969	ERR8442970	ERR8442971	ERR8442972	ERR8442973	ERR8442974	ERR8442975	ERR8442976	ERR8442977	ERR8442978	ERR8442979	ERR8442980	ERR8442981	ERR8442982	ERR8442983	ERR8442984	ERR8442985	ERR8442986	ERR8442987	ERR8442988	ERR8442989	ERR8442990	ERR8442991	ERR8442992	ERR8442993	ERR8442995	ERR8442996	ERR8442997	ERR8442998	ERR8442999	ERR8443000	ERR8443001	ERR8443002	ERR8443003	ERR8443004	ERR8443005	ERR8443006	ERR8443007	ERR8443008	ERR8443009	ERR8443010	ERR8443011	ERR8443012	ERR8443013	ERR8443014	ERR8443015
cdd9011972b46307261d90b64951157b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1300.0	1450.0	1151.0	1060.0	926.0	1637.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	1389.0	1116.0	1351.0	1450.0	1141.0	2260.0	1334.0	1312.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1126.0	1165.0	913.0	1195.0	1053.0	1400.0	1043.0	913.0	1445.0	1158.0	1289.0	1397.0	489.0	1343.0	1224.0	1024.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	32.0	0.0	0.0	0.0	0.0	1228.0	858.0	1671.0	881.0	1095.0	870.0	738.0	1484.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1493.0	1917.0	1518.0	1688.0	932.0	1498.0	1164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1458.0	982.0	762.0	1041.0	946.0	671.0	1190.0	0.0	0.0	0.0	0.0	0.0	0.0	799.0	1210.0	957.0	848.0	1529.0	1423.0	1403.0	429.0
0609c9502268104bfd99e5b4fe9bba35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1090.0	626.0	519.0	462.0	389.0	706.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	1057.0	1002.0	1318.0	1633.0	1224.0	1950.0	1414.0	1435.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1189.0	1283.0	916.0	914.0	1076.0	1391.0	1038.0	1013.0	1424.0	1391.0	1226.0	1431.0	399.0	1277.0	1310.0	1067.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1139.0	940.0	1622.0	906.0	1311.0	851.0	812.0	1605.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1569.0	1946.0	1501.0	1596.0	963.0	1769.0	1481.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1413.0	855.0	770.0	930.0	740.0	583.0	1182.0	0.0	0.0	0.0	0.0	0.0	0.0	710.0	1080.0	749.0	765.0	1341.0	1231.0	1303.0	379.0
e0590a8b646ebc00c72074f408fc8c04	1583.0	1164.0	1324.0	1283.0	1114.0	1350.0	1166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1088.0	1004.0	1428.0	1663.0	1317.0	1680.0	1334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	882.0	1018.0	912.0	634.0	539.0	904.0	1121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	970.0	1141.0	1530.0	1331.0	794.0	1419.0	1274.0	1222.0	1226.0	330.0	492.0	879.0	911.0	995.0	887.0	784.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	869.0	591.0	472.0	1069.0	1295.0	503.0	958.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	704.0	964.0	743.0	892.0	1239.0	1133.0	1210.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0	132.0	1014.0	769.0	695.0	628.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cd3d6f69e1ddc64fe48608bbddc0022a	1292.0	877.0	987.0	1005.0	890.0	1015.0	977.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	486.0	455.0	1258.0	1427.0	1163.0	1495.0	1132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	887.0	1078.0	972.0	709.0	509.0	1010.0	1199.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	876.0	1185.0	1040.0	991.0	621.0	1078.0	990.0	1037.0	938.0	237.0	415.0	838.0	874.0	1010.0	764.0	741.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	759.0	470.0	395.0	931.0	1296.0	450.0	1001.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	743.0	1074.0	942.0	1113.0	1452.0	1264.0	1041.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	303.0	128.0	975.0	787.0	541.0	603.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2cf4da44ed42ad705b388ac371a5dd86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	729.0	464.0	397.0	335.0	300.0	552.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	775.0	761.0	1012.0	1275.0	956.0	825.0	1030.0	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	942.0	985.0	773.0	434.0	857.0	1173.0	881.0	783.0	1179.0	1081.0	1049.0	1220.0	355.0	1065.0	1063.0	917.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	855.0	625.0	1109.0	652.0	846.0	633.0	566.0	1021.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1080.0	1307.0	1128.0	1171.0	649.0	1342.0	870.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1018.0	622.0	543.0	753.0	549.0	481.0	782.0	0.0	0.0	0.0	0.0	0.0	0.0	579.0	817.0	634.0	631.0	1072.0	967.0	966.0	289.0
d945820886cdbc6d8d6330aa17c57197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	912.0	918.0	854.0	644.0	645.0	1104.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	983.0	864.0	836.0	937.0	745.0	982.0	907.0	744.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	894.0	837.0	660.0	567.0	766.0	1078.0	739.0	737.0	1064.0	950.0	1077.0	1039.0	335.0	976.0	985.0	768.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	854.0	610.0	1113.0	575.0	774.0	568.0	542.0	908.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1118.0	1344.0	1077.0	1219.0	639.0	1080.0	796.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1106.0	699.0	590.0	809.0	650.0	551.0	828.0	0.0	0.0	0.0	0.0	0.0	0.0	543.0	869.0	685.0	542.0	1121.0	990.0	1000.0	260.0
8b30151cc0c9fc9dd117a105dcfbcbcb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	896.0	1101.0	827.0	794.0	682.0	1145.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	831.0	736.0	803.0	986.0	728.0	912.0	858.0	845.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	807.0	819.0	627.0	745.0	749.0	989.0	723.0	651.0	945.0	923.0	872.0	988.0	282.0	990.0	917.0	770.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	844.0	617.0	1098.0	596.0	809.0	627.0	522.0	1083.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	908.0	1145.0	915.0	870.0	527.0	789.0	580.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	906.0	531.0	464.0	584.0	477.0	419.0	605.0	0.0	0.0	0.0	0.0	0.0	0.0	485.0	715.0	517.0	489.0	892.0	732.0	753.0	240.0
2885e3426708bf9b802b96012a593c4e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	646.0	661.0	498.0	458.0	364.0	733.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	720.0	684.0	852.0	1089.0	853.0	675.0	960.0	909.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	802.0	825.0	629.0	428.0	739.0	1038.0	790.0	703.0	996.0	1013.0	989.0	1044.0	335.0	989.0	925.0	734.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	752.0	582.0	996.0	540.0	736.0	517.0	530.0	1013.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	898.0	1167.0	819.0	967.0	513.0	1075.0	817.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	965.0	528.0	445.0	566.0	456.0	378.0	670.0	0.0	0.0	0.0	0.0	0.0	0.0	506.0	917.0	676.0	604.0	1057.0	865.0	878.0	239.0
feeab8215ed65fce693df480f1ca3fb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	717.0	422.0	398.0	332.0	273.0	563.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	701.0	643.0	923.0	1052.0	829.0	716.0	901.0	936.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	830.0	824.0	625.0	532.0	777.0	1012.0	789.0	669.0	1049.0	975.0	834.0	1107.0	155.0	946.0	893.0	805.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	728.0	569.0	1120.0	608.0	805.0	590.0	586.0	1057.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	864.0	988.0	789.0	844.0	492.0	853.0	629.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	757.0	480.0	364.0	501.0	358.0	304.0	547.0	0.0	0.0	0.0	0.0	0.0	0.0	409.0	622.0	492.0	442.0	781.0	675.0	683.0	178.0
959a1c3f565047313cfc553bdd80c868	1085.0	796.0	906.0	927.0	747.0	955.0	811.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	757.0	607.0	1109.0	1193.0	969.0	1257.0	998.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	531.0	615.0	593.0	479.0	357.0	678.0	809.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	794.0	912.0	897.0	863.0	561.0	1146.0	919.0	994.0	839.0	245.0	394.0	577.0	653.0	700.0	597.0	527.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	667.0	441.0	343.0	774.0	981.0	363.0	681.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	499.0	659.0	541.0	592.0	960.0	740.0	1061.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	247.0	105.0	731.0	562.0	444.0	460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
