OTU_ID	SRR8284879	SRR8284880	SRR8284881	SRR8284882	SRR8284883	SRR8284884	SRR8284885	SRR8284886	SRR8284887	SRR8284888	SRR8284889	SRR8284890	SRR8284891	SRR8284892	SRR8284893	SRR8284894	SRR8284895	SRR8284896
3fc101320c60d31f6e0e34ee2a3e1228	0.0	1603.0	1205.0	1528.0	1691.0	1574.0	1573.0	1645.0	0.0	1428.0	0.0	0.0	1276.0	0.0	0.0	0.0	0.0	0.0
e41ad5803c7e70eb1cf713bcd101be86	0.0	1274.0	882.0	1139.0	1270.0	1211.0	1303.0	1064.0	0.0	955.0	0.0	0.0	780.0	0.0	0.0	0.0	0.0	0.0
a20f47b8318192742c6869a4cc6f1908	0.0	451.0	371.0	415.0	492.0	448.0	426.0	489.0	0.0	403.0	0.0	0.0	415.0	0.0	0.0	0.0	0.0	0.0
b8189778497e3af997e165547715d842	0.0	174.0	416.0	103.0	97.0	193.0	189.0	76.0	0.0	535.0	0.0	0.0	584.0	0.0	0.0	0.0	0.0	0.0
52557f949e2849e399f4890d5d26358b	0.0	270.0	172.0	81.0	47.0	149.0	151.0	62.0	0.0	379.0	0.0	0.0	471.0	0.0	0.0	0.0	0.0	0.0
a69df2c8669846a723511980dbc11c6d	0.0	198.0	184.0	26.0	74.0	80.0	143.0	26.0	0.0	247.0	0.0	0.0	308.0	0.0	0.0	0.0	0.0	0.0
c87014230ccbb9a6e4d6dc53ce8520dd	0.0	40.0	38.0	359.0	143.0	142.0	74.0	247.0	0.0	12.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
d966df2641a0f2ddfa897133a174819d	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	0.0	144.0	176.0	0.0	101.0	138.0	129.0	192.0	135.0
ae6847e218445d688eb7e3e8137b4199	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	128.0	142.0	0.0	80.0	145.0	119.0	147.0	104.0
b8664912c33dca4f80df6fa44bf78017	0.0	39.0	31.0	147.0	42.0	61.0	34.0	87.0	0.0	12.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
c57872a099b9170df071ec55c218d2b2	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	74.0	98.0	0.0	133.0	95.0	88.0	110.0	100.0
a4bc9f57e2680e45100bfda001d24c24	0.0	47.0	35.0	54.0	55.0	48.0	37.0	48.0	0.0	52.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0
36684138911bacb0494de5572baf243a	0.0	4.0	275.0	0.0	14.0	0.0	8.0	0.0	0.0	84.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0
9524420dc0de5e973f07d5019a4dabee	0.0	62.0	33.0	37.0	47.0	57.0	60.0	43.0	0.0	41.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0
